slug	title	type	missing	max	count	verdict	recover_isbn
kazenowatokinowasunanowa	風の輪・時の和・砂の環	standard	[2, 3, 4, 5]	6	2	SOURCE_GAP	{}
kuroi-kizuato-no-otoko	黒い傷痕の男	standard	[4, 5, 6, 7]	9	5	SOURCE_GAP	{}
love-drug	ラブドラッグ	standard	[5, 6, 7, 8]	9	2	SOURCE_GAP	{}
manga-girishia-shinwa-1991	まんがギリシア神話	standard	[2, 4, 5, 7]	8	4	SOURCE_GAP	{}
shin-takumi-no-fundoshi	新・匠のふんどし	standard	[2, 4, 5, 6]	9	5	SOURCE_GAP	{}
shirasunamura	白砂村	standard	[4, 5, 6, 7]	10	6	SOURCE_GAP	{}
toilet-hakase	トイレット博士	standard	[7, 24, 25, 26]	28	24	SOURCE_GAP	{}
tokumorikobo-chan	特盛!コボちゃん	standard	[6, 7, 10, 11]	16	9	SOURCE_GAP	{}
ura-deka	うら刑事	standard	[4, 6, 7, 8]	11	7	SOURCE_GAP	{}
ushinawareta-muu-tairiku	失われたムー大陸	standard	[2, 3, 4, 5]	6	2	SOURCE_GAP	{}
xxxholic	xxxHOLiC	standard	[15, 16, 17, 18]	19	2	SOURCE_GAP	{}
yaiba-2013	刃	standard	[2, 3, 4, 5]	6	2	SOURCE_GAP	{}
b-t-x	ビート・エックス	standard	[13, 14, 15]	16	13	SOURCE_GAP	{}
canon-1995	CANON	standard	[5, 6, 7]	8	5	SOURCE_GAP	{}
doubutsu-no-mori	どうぶつの森	standard	[9, 10, 11]	12	9	SOURCE_GAP	{}
fuchin-senkan-kii	不沈戦艦紀伊	standard	[3, 4, 6]	10	7	SOURCE_GAP	{}
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	standard	[8, 9, 10]	11	2	SOURCE_GAP	{}
gakkou-kachinukisen-jikken-taiketsu	学校勝ち抜き戦 実験対決	standard	[14, 15, 17]	20	9	SOURCE_GAP	{}
gensou-tairiku	幻想大陸	standard	[3, 4, 5]	6	3	SOURCE_GAP	{}
gomen-asobase	ごめんあそばせ	standard	[7, 8, 9]	11	8	SOURCE_GAP	{}
gunjou-2012	群青	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
hanamaru-manga	花丸漫画	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
hanazakari-daikokuya-honpo	花ざかり大黒屋本舗	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
hard-nuts	ハードナッツ	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
heisei-kochikame-28-nen	平成こち亀28年	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
help	HELP	standard	[3, 4, 5]	6	3	SOURCE_GAP	{}
higurashi-no-nakukoro-ni	ひぐらしのなく頃に	standard	[7, 8, 9]	12	5	SOURCE_GAP	{}
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	standard	[2, 9, 25]	30	27	SOURCE_GAP	{}
iketerufutari	イケてる2人	standard	[12, 17, 23]	33	30	SOURCE_GAP	{}
impact	インパクト	standard	[3, 4, 5]	29	26	SOURCE_GAP	{}
karate-baka-ichidai-1972	空手バカ一代	standard	[18, 19, 24]	26	23	SOURCE_GAP	{}
kiza	KIZA	standard	[4, 5, 6]	7	4	SOURCE_GAP	{}
koike-kazuo-no-za-shibi-golf	小池一夫のザ・シビゴルフ	standard	[3, 4, 5]	6	3	SOURCE_GAP	{}
mikosuri-gekijou	みこすり半劇場	standard	[15, 16, 17]	18	15	SOURCE_GAP	{}
modena-no-ken	モデナの剣	standard	[13, 15, 18]	25	22	SOURCE_GAP	{}
nekosogi-franken	根こそぎフランケン	standard	[2, 4, 5]	8	5	SOURCE_GAP	{}
nipponichi-no-otoko-no-tamashii	日本一の男の魂	standard	[5, 7, 8]	19	16	SOURCE_GAP	{}
otokuyou-mainichi-kaa-san	お徳用毎日かあさん	standard	[2, 4, 6]	7	4	SOURCE_GAP	{}
pachisuro-yancha-gaiden	パチスロやんちゃ外伝	standard	[3, 5, 6]	7	4	SOURCE_GAP	{}
pururunzeminaaru	ぷるるんゼミナール	standard	[3, 4, 5]	6	3	SOURCE_GAP	{}
shin-mimibukuro	新耳袋	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
show-chan-no-bouken	正チャンの冒険	standard	[2, 3, 4]	6	3	SOURCE_GAP	{}
soshite-kozure-ookami-shikaku-no-ko	そして-子連れ狼刺客の子	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
tasogare-ryuuseigun	黄昏流星群	standard	[72, 73, 74]	79	76	SOURCE_GAP	{}
utahime-obaka-miiko	打姫オバカミーコ	standard	[4, 8, 11]	15	12	SOURCE_GAP	{}
valkyrie-profile	VALKYRIE PROFILE	standard	[2, 5, 6]	7	4	SOURCE_GAP	{}
yakuyaku-sports-land	やくやくスポーツらんど	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
yatteranneeze	やってらんねェぜ!	standard	[2, 3, 5]	6	3	SOURCE_GAP	{}
yume-camera	夢カメラ	standard	[2, 3, 4]	5	2	SOURCE_GAP	{}
2-tengojigen-no-ririsa	2.5次元の誘惑(リリサ)	standard	[21, 23]	25	23	SOURCE_GAP	{}
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard	[2, 4]	6	4	SOURCE_GAP	{}
ariel-comic	ARIEL COMIC	standard	[6, 7]	8	5	SOURCE_GAP	{}
asami-mitsuhiko-mystery-and-ryoshuu-suspense	浅見光彦ミステリー&旅愁サスペンス	standard	[2, 3]	5	3	SOURCE_GAP	{}
bocchi-za-rock-gaiden-hiroi-kikuri-no-fukazake-nikki	ぼっち・ざ・ろっく!外伝廣井きくりの深酒日記	standard	[3, 4]	6	4	SOURCE_GAP	{}
bolt-and-nut	ボルト＆ナット	standard	[3, 10]	18	16	SOURCE_GAP	{}
c-live	C-live	standard	[3, 4]	5	2	SOURCE_GAP	{}
chousen-shikaku	挑戦資格	standard	[4, 5]	9	7	SOURCE_GAP	{}
cobra-1995	Cobra	standard	[13, 14]	15	13	SOURCE_GAP	{}
daikaijuu-geaachima	大怪獣ゲァーチマ	standard	[4, 5]	8	6	SOURCE_GAP	{}
darashinai-desu-hotta-sensei	だらしないです堀田先生!	standard	[5, 6]	9	7	SOURCE_GAP	{}
doctor-hankotsui	ドクター反骨医	standard	[11, 19]	20	18	SOURCE_GAP	{}
dokudane-tokuhain-kasuga	毒ダネ特派員・カスガ	standard	[3, 5]	6	4	SOURCE_GAP	{}
doyoubinoehon	土曜日の絵本	standard	[3, 5]	6	4	SOURCE_GAP	{}
dr-typhoon-1996	Dr.Typhoon	standard	[4, 7]	8	4	SOURCE_GAP	{}
fuguushoku-kanteishi-ga-jitsu-wa-saikyou-datta	不遇職〈鑑定士〉が実は最強だった	standard	[13, 15]	16	14	SOURCE_GAP	{}
ganso-doku-typhoon	元祖Dr.タイフーン	standard	[7, 11]	13	11	SOURCE_GAP	{}
gegege-no-kitarou	ゲゲゲの鬼太郎	standard	[14, 15]	17	15	SOURCE_GAP	{}
gekki	月姫	standard	[6, 7]	12	10	SOURCE_GAP	{}
generous-kiss	GENEROUS KISS	standard	[3, 5]	6	3	SOURCE_GAP	{}
ginga-densetsu-weed	銀牙伝説Weed	standard	[40, 44]	60	58	SOURCE_GAP	{}
gray-zone	Gray zone	standard	[4, 7]	8	6	SOURCE_GAP	{}
guruguru-shoukougun	ぐるぐる症候群	standard	[11, 12]	13	2	SOURCE_GAP	{}
haruka-naru-toki-no-naka-de	遥かなる時空の中で	standard	[10, 11]	17	15	SOURCE_GAP	{}
heisei-haizanhei-sumire-chan	平成敗残兵すみれちゃん	standard	[3, 5]	9	7	SOURCE_GAP	{}
himekishi-wa-barubaroi-no-yome	姫騎士は蛮族(バルバロイ)の嫁	standard	[8, 9]	11	9	SOURCE_GAP	{}
image	イマージュ	standard	[14, 15]	16	14	SOURCE_GAP	{}
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	standard	[3, 5]	7	5	SOURCE_GAP	{}
jiimago-rhapsody	ジイマゴらぷそでぃー	standard	[3, 4]	5	3	SOURCE_GAP	{}
jitsuwa-imouto-deshita	じつは義妹(いもうと)でした。	standard	[5, 6]	7	5	SOURCE_GAP	{}
judo-itchokusen	柔道一直線	standard	[11, 12]	13	11	SOURCE_GAP	{}
jump-sq-comic-selection	ジャンプSQ.Comic Selection	standard	[4, 5]	7	5	SOURCE_GAP	{}
kai-riki-ran-shin-quan	怪・力・乱・神クワン	standard	[3, 4]	7	5	SOURCE_GAP	{}
kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	standard	[3, 4]	11	9	SOURCE_GAP	{}
kemono-jihen	怪物(けもの)事変	standard	[22, 23]	24	22	SOURCE_GAP	{}
killers-holiday	キラーズホリディ	standard	[3, 7]	8	6	SOURCE_GAP	{}
kozame-kaikyou	虎鮫海峡	standard	[2, 3]	4	2	SOURCE_GAP	{}
kuooto-ando-half	1/4×1/2	standard	[3, 4]	9	7	SOURCE_GAP	{}
kyattsuai	キャッツ❤アイ	standard	[19, 20]	21	19	SOURCE_GAP	{}
lilliput	リリパット	standard	[6, 8]	9	7	SOURCE_GAP	{}
live-dungeon	ライブダンジョン!	standard	[13, 14]	15	13	SOURCE_GAP	{}
macross-7-trash-2009	マクロス7trash	standard	[5, 6]	8	6	SOURCE_GAP	{}
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	standard	[9, 10]	15	13	SOURCE_GAP	{}
meitantei-conan-2005	名探偵コナン特別編	standard	[37, 38]	40	38	SOURCE_GAP	{}
metcha-shoukansareta-ken-the-comic	めっちゃ召喚された件the comic	standard	[9, 10]	12	10	SOURCE_GAP	{}
mogura-no-uta	土竜の唄	standard	[86, 87]	94	92	SOURCE_GAP	{}
nageki-no-bourei-wa-intai-shitai	嘆きの亡霊は引退したい	standard	[10, 11]	12	10	SOURCE_GAP	{}
netoraretemo-anata-no-kanojo	寝取られてもアナタのカノジョ。	standard	[2, 3]	4	2	SOURCE_GAP	{}
onape	オナぺ	standard	[3, 4]	5	2	SOURCE_GAP	{}
onna-kajishi-wa-ohitoyoshi-guild-ni-hirowaremashita	女鍛冶師はお人好しギルドに拾われました	standard	[5, 6]	7	5	SOURCE_GAP	{}
pawabomushiata	パワーボムtheater	standard	[2, 3]	5	3	SOURCE_GAP	{}
pen-to-wappa-to-jijitsukon	ペンと手錠(ワッパ)と事実婚	standard	[4, 5]	6	4	SOURCE_GAP	{}
pose-file	ポーズ・ファイル	standard	[2, 7]	9	7	SOURCE_GAP	{}
robot-santou-hei	ロボット三等兵	standard	[6, 8]	10	8	SOURCE_GAP	{}
robotics-notes-2012	Robotics;Notes	standard	[4, 5]	6	4	SOURCE_GAP	{}
sabaku-no-maou	沙漠の魔王	standard	[4, 6]	7	5	SOURCE_GAP	{}
saint-seiya-final-edition	聖闘士(セイント)星矢Final Edition	standard	[10, 12]	13	11	SOURCE_GAP	{}
sebangou-0	背番号0	standard	[3, 5]	6	4	SOURCE_GAP	{}
seiden-rg-veeda	聖伝 RG VEDA	standard	[7, 9]	10	8	SOURCE_GAP	{}
servamp	SERVAMP	standard	[22, 23]	24	22	SOURCE_GAP	{}
shin-ranchesutaa-senryaku	新ランチェスター戦略	standard	[4, 5]	10	8	SOURCE_GAP	{}
shinyaku-meruhien	新約Marchen	standard	[2, 3]	4	2	SOURCE_GAP	{}
shisaku-nansensu-senshuu	思索ナンセンス選集	standard	[3, 6]	8	5	SOURCE_GAP	{}
shitsurakuen-1996	失楽園	standard	[3, 4]	7	5	SOURCE_GAP	{}
shiyounan-bakusouzoku	湘南爆走族	standard	[4, 5]	6	4	SOURCE_GAP	{}
shota-komi	ショタコミ	standard	[2, 3]	4	2	SOURCE_GAP	{}
shounen-keniya	少年ケニヤ	standard	[11, 12]	16	14	SOURCE_GAP	{}
shukujo-no-kagami-yamemashita	淑女の鑑やめました。	standard	[4, 5]	6	4	SOURCE_GAP	{}
ss	SS	standard	[4, 5]	9	7	SOURCE_GAP	{}
star-ocean-second-story	スターオーシャン セカンドストーリー	standard	[3, 5]	6	3	SOURCE_GAP	{}
super-mario-4-koma-manga-oukoku	スーパーマリオ 4コマまんが王国	standard	[4, 6]	7	5	SOURCE_GAP	{}
taiyou-no-romance	太陽のロマンス	standard	[2, 3]	5	3	SOURCE_GAP	{}
tokyo-monogatari	東京物語	standard	[7, 8]	10	8	SOURCE_GAP	{}
tsuihousareta-sareta-tensei-juukishi-wa-game-chishiki-de-musou-suru	追放された転生重騎士はゲーム知識で無双する	standard	[13, 16]	17	15	SOURCE_GAP	{}
ultra-seven-1978	ウルトラセブン	standard	[2, 4]	6	4	SOURCE_GAP	{}
virgin-mama	バージン★ママ	standard	[10, 11]	12	10	SOURCE_GAP	{}
waibaan-no-kodomotachi	ワイバーンの子供たち	standard	[3, 4]	6	4	SOURCE_GAP	{}
yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	standard	[5, 7]	8	3	SOURCE_GAP	{}
yuugiou-ofisharu-card-ocg-structures	遊☆戯☆王OCG(オフィシャルカードゲーム)ストラクチャーズ	standard	[9, 10]	11	9	SOURCE_GAP	{}
yuuutsuna-asa	憂鬱な朝	standard	[6, 7]	8	6	SOURCE_GAP	{}
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	standard	[2]	3	2	SOURCE_GAP	{}
1	1・2作戦	standard	[2]	3	2	SOURCE_GAP	{}
12-no-kekkon-monogatari	12の結婚物語	standard	[4]	6	5	SOURCE_GAP	{}
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	standard	[2]	3	2	SOURCE_GAP	{}
ai-1995	愛	standard	[3]	4	2	SOURCE_GAP	{}
aimu-namu	アイムナム	standard	[2]	3	2	SOURCE_GAP	{}
alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	standard	[8]	10	9	SOURCE_GAP	{}
alice-no-ochakai	アリスのお茶会	standard	[5]	6	5	SOURCE_GAP	{}
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	standard	[3]	4	3	SOURCE_GAP	{}
anata-ni-mo-angel	アナタにもAngel	standard	[3]	4	2	SOURCE_GAP	{}
anata-o-korosu-tabi	あなたを殺す旅	standard	[2]	3	2	SOURCE_GAP	{}
anmitsuhime	あんみつ姫	bunkobon	[2]	3	2	SOURCE_GAP	{}
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極めたらチートなNPCを雇えるようになりました～@COMIC	standard	[8]	9	8	SOURCE_GAP	{}
ao-no-otoko	蒼の男	standard	[3]	5	4	SOURCE_GAP	{}
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	standard	[14]	17	16	SOURCE_GAP	{}
arasu-kagayakeru-tsubasa	Alas～輝ける翼	standard	[9]	11	10	SOURCE_GAP	{}
asagiiro-no-saudaaji	あさぎ色のサウダージ	standard	[2]	3	2	SOURCE_GAP	{}
asami-mitsuhiko-mystery-and-ryojou-suspense	浅見光彦ミステリー＆旅情サスペンス	standard	[2]	15	14	SOURCE_GAP	{}
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	standard	[20]	25	24	SOURCE_GAP	{}
atori-show	アトリ抄	standard	[5]	6	2	SOURCE_GAP	{}
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	バイト先の先輩が高校生じゃなかった話	standard	[2]	3	2	SOURCE_GAP	{}
bakuon-rettou	爆音列島	standard	[10]	18	17	SOURCE_GAP	{}
best-of-naka-tomoko	閑古鳥の巣	standard	[2]	3	2	SOURCE_GAP	{}
big-rival	ビッグライバル	standard	[2]	3	2	SOURCE_GAP	{}
bikkuriman-omoshirorando	ビックリマン おもしろランド	standard	[4]	5	4	SOURCE_GAP	{}
bird	バード	standard	[2]	8	7	SOURCE_GAP	{}
bishou-hari	美少玻璃	standard	[4]	7	6	SOURCE_GAP	{}
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	standard	[5]	6	5	SOURCE_GAP	{}
bon	Bon	standard	[4]	5	2	SOURCE_GAP	{}
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	standard	[2]	4	3	SOURCE_GAP	{}
botsu-chan-no-jidai	『坊っちゃん』の時代	standard	[4]	5	3	SOURCE_GAP	{}
boukenshatachi-no-sekaishi	冒険者たちの世界史	standard	[17]	24	23	SOURCE_GAP	{}
bubble	バブル	standard	[7]	10	9	SOURCE_GAP	{}
can-you-do-asachun-with-me-for-save-the-worldsekaiwosukuutamenitsugutotoasachundekimasuka	世界を救うために亜人(わたし)と朝チュンできますか?	standard	[8]	9	8	SOURCE_GAP	{}
chicken-iguchi-2024	チキン	standard	[42]	46	22	SOURCE_GAP	{}
chihiro	ちひろ	standard	[2]	3	2	SOURCE_GAP	{}
chikyuuzeronen	地球0年	standard	[2]	3	2	SOURCE_GAP	{}
chinchin-densha-no-uta	チンチン電車の詩	standard	[2]	3	2	SOURCE_GAP	{}
chinpira	弱虫	standard	[22]	30	29	SOURCE_GAP	{}
chokoreito	ちょこれいと	standard	[2]	3	2	SOURCE_GAP	{}
chotto-dake-kaettekita-dokutaa-slump	ちょっとだけかえってきたDr.SLUMP	standard	[2]	4	3	SOURCE_GAP	{}
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	standard	[2]	3	2	SOURCE_GAP	{}
choutetsu-taitei-tesura	超鉄大帝テスラ	standard	[2]	3	2	SOURCE_GAP	{}
cinema	シネマ	standard	[3]	4	3	SOURCE_GAP	{}
color-recipe	カラーレシピ	standard	[2]	3	2	SOURCE_GAP	{}
comic-asami-mitsuhiko-honkaku-ryojou-mystery	コミック浅見光彦本格旅情ミステリー	standard	[13]	17	16	SOURCE_GAP	{}
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	standard	[2]	5	4	SOURCE_GAP	{}
condor-king	コンドル・キング	standard	[6]	7	6	SOURCE_GAP	{}
crew-1994	Crew 1994	standard	[8]	10	3	SOURCE_GAP	{}
crew-de-gozaimasu	CREWでございます!	standard	[2]	4	3	SOURCE_GAP	{}
cuddle	カドル	standard	[3]	4	3	SOURCE_GAP	{}
dabide-no-hoshi	堕靡泥の星	standard	[20]	21	20	SOURCE_GAP	{}
daikaizoku-doumei-extra-edition	大海賊同盟 EXTRA EDITION	standard	[6]	7	6	SOURCE_GAP	{}
dakareta-akuyaku-reijou-wa-gekihen-ouji-no-dekiai-route-ni-totsunyuuchuu	抱かれた悪役令嬢は、激変王子の溺愛ルートに突入中!?	standard	[3]	4	3	SOURCE_GAP	{}
danjo-no-yuujou-wa-seiritsu-suru-iya-shinai	男女の友情は成立する?〈いや、しないっ!!〉	standard	[4]	5	4	SOURCE_GAP	{}
dare-nimo-aisarenai	誰にも愛されない	standard	[2]	3	2	SOURCE_GAP	{}
deadpool-samurai-sano-2021	デッドプール:SAMURAI	standard	[3]	4	3	SOURCE_GAP	{}
dekirukana	できるかな	standard	[2]	4	3	SOURCE_GAP	{}
denkou-sekka-boys	電光石火BOYS	standard	[2]	3	2	SOURCE_GAP	{}
dogs-sato-2023	Dogs	standard	[2]	3	2	SOURCE_GAP	{}
doku-doku-mori-mori	どく・どく・もり・もり	standard	[3]	4	3	SOURCE_GAP	{}
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	standard	[3]	11	9	SOURCE_GAP	{}
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	standard	[4]	23	22	SOURCE_GAP	{}
dotsukiri-angel	どっきり!エンジェル	standard	[2]	3	2	SOURCE_GAP	{}
dou-ganbattemo-etchi-ni-natchau-osananajimi	どう頑張ってもHになっちゃう幼なじみ	standard	[2]	3	2	SOURCE_GAP	{}
dr-nekoyanagita-no-kagakuteki-seishun	Dr.猫柳田の科学的青春	standard	[2]	5	4	SOURCE_GAP	{}
dragless-sex	ドラッグレス・セックス	standard	[2]	3	2	SOURCE_GAP	{}
dragon-ken	ドラゴン拳	standard	[4]	7	6	SOURCE_GAP	{}
drawing	ドローイング	standard	[12]	18	17	SOURCE_GAP	{}
drcl	#DRCL	aizoban	[5]	7	6	SOURCE_GAP	{}
duel-masters	DUEL MASTERS	standard	[16]	17	16	SOURCE_GAP	{}
ehon-kouroumu	画本紅楼夢	standard	[2]	5	4	SOURCE_GAP	{}
engokukou	怨獄紅	standard	[2]	3	2	SOURCE_GAP	{}
esudii-gundam-gaiden-kishi-gundam-monogatari-seikihei-monogatari-hen	SDガンダム外伝 騎士ガンダム物語 聖機兵物語編	standard	[2]	3	2	SOURCE_GAP	{}
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	standard	[3]	4	2	SOURCE_GAP	{}
fantasy-bishoujo-juniku-oji-san-to	異世界(ファンタジー)美少女受肉おじさんと	standard	[14]	17	16	SOURCE_GAP	{}
fate-kishi	Fate騎士	standard	[3]	11	9	SOURCE_GAP	{}
finding-dory	ファインディング・ドリー	standard	[2]	3	2	SOURCE_GAP	{}
fire-emblem-4-koma-manga-gekijou	ファイアーエムブレム4コママンガ劇場	standard	[3]	4	3	SOURCE_GAP	{}
fukou-reijou-deshitaga-happy-end-o-mukaemashita	不幸令嬢でしたが、ハッピーエンドを迎えました	standard	[3]	5	4	SOURCE_GAP	{}
fushigi-tobe-kun	ふしぎトーボくん	standard	[2]	3	2	SOURCE_GAP	{}
futsuu-no-joshikousei-ga-rokodoru-yattemita	普通の女子校生が【ろこどる】やってみた。	standard	[5]	10	9	SOURCE_GAP	{}
fuuhai-ni-kike	風牌に訊け	standard	[2]	6	5	SOURCE_GAP	{}
gal-ga-sylvanian-family-o-dekiai-shitara	ギャルがシルバニアファミリーを溺愛したら。	standard	[4]	7	5	SOURCE_GAP	{}
gamurakan	臥夢螺館	standard	[2]	3	2	SOURCE_GAP	{}
gandharva	ガンダルヴァ	standard	[2]	3	2	SOURCE_GAP	{}
gate	ゲート	standard	[26]	28	27	SOURCE_GAP	{}
gekiga-ningen-kakumei	劇画人間革命	standard	[3]	56	55	SOURCE_GAP	{}
gekiga-oya-sama-monogatari	劇画教祖物語	standard	[3]	4	3	SOURCE_GAP	{}
gentsuki-oba-san	原付おばさん	standard	[2]	4	3	SOURCE_GAP	{}
girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦です!	standard	[22]	25	24	SOURCE_GAP	{}
goshujin-sama-no-oshioki	ご主人様のおしおき?	standard	[2]	3	2	SOURCE_GAP	{}
goukaku-kigan	合格祈願	standard	[3]	4	3	SOURCE_GAP	{}
gurazeni-daileaguehen	グラゼニ～大リーグ編～	standard	[5]	9	8	SOURCE_GAP	{}
guresanpo	グレさんぽ	standard	[2]	3	2	SOURCE_GAP	{}
hajime-ningen-gon	はじめ人間ゴン	standard	[6]	7	6	SOURCE_GAP	{}
hallelujah-baby	ハレルヤベイビー	standard	[7]	8	7	SOURCE_GAP	{}
hamster-club	ハムスター倶楽部	standard	[5]	6	2	SOURCE_GAP	{}
hana-no-deka	花の慶次	standard	[19]	20	19	SOURCE_GAP	{}
hanamori-no-kitsune	花守の狐	standard	[2]	3	2	SOURCE_GAP	{}
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	standard	[2]	3	2	SOURCE_GAP	{}
haramu-made-midare-ike	孕むまで乱れいけ	standard	[3]	5	3	SOURCE_GAP	{}
hardboiled-daddy	ハードボイルド・ダディ	standard	[2]	3	2	SOURCE_GAP	{}
harukanaru-toki-no-naka-de	遙かなる時空の中で	standard	[9]	11	10	SOURCE_GAP	{}
hashire-merosu	走れメロス	standard	[2]	3	2	SOURCE_GAP	{}
heart-kiyatsuchi-izumichiyan	ハート❤キャッチいずみちゃん	standard	[6]	9	8	SOURCE_GAP	{}
hell-mode	ヘルモード	standard	[11]	13	12	SOURCE_GAP	{}
higurashi-no-naku-koro-ni-himatsubushihen	ひぐらしのなく頃に 暇潰し編	standard	[3]	4	3	SOURCE_GAP	{}
himitsu-de-naito	ひ・み・つでナイト	standard	[2]	3	2	SOURCE_GAP	{}
hitman-go-go	ヒットマンgo!go!	standard	[3]	4	3	SOURCE_GAP	{}
hito-no-ko	ひとのこ	standard	[2]	3	2	SOURCE_GAP	{}
honoo-no-mirage-reboot	炎の蜃気楼R(ミラージュリブート)	standard	[9]	10	9	SOURCE_GAP	{}
honto-ni-atta-gakkou-kaidan	ほんとにあった学校怪談	standard	[4]	5	4	SOURCE_GAP	{}
hontou-ni-atta-chibi-waraeru-hanashi	本当にあったちび笑える話	standard	[206]	208	4	SOURCE_GAP	{}
horikou-hanemono-ranger	堀高ハネモノレンジャー	standard	[2]	3	2	SOURCE_GAP	{}
hyouman	豹マン	standard	[2]	3	2	SOURCE_GAP	{}
iara	イアラ	standard	[7]	8	7	SOURCE_GAP	{}
ie-naki-ko	家なき子	standard	[2]	3	2	SOURCE_GAP	{}
imootaru-princess-hajimemashita	人外姫様(イモータルプリンセス)、始めました	standard	[13]	16	15	SOURCE_GAP	{}
imouto-wa-kanojo-ni-dekinai-noni	妹はカノジョにできないのに	standard	[3]	4	3	SOURCE_GAP	{}
intron-depot	INTRON DEPOT	standard	[2]	7	6	SOURCE_GAP	{}
inugamike-no-ichizoku	犬神家の一族	standard	[2]	3	2	SOURCE_GAP	{}
isekai-tensei-no-boukensha	異世界転生の冒険者	standard	[11]	12	11	SOURCE_GAP	{}
isekai-tensei-soudouki	異世界転生騒動記	standard	[13]	14	13	SOURCE_GAP	{}
ishii-hisaichi-no-keizai-gairon	いしいひさいちの経済外論	standard	[2]	3	2	SOURCE_GAP	{}
jinjuu-houretsuden	仁獣芳烈伝	standard	[11]	13	12	SOURCE_GAP	{}
jiraikei-kareshi-suzu-kun	地雷系彼氏すずくん	standard	[3]	4	2	SOURCE_GAP	{}
joyuu-kawasaki-1988	女優	standard	[2]	4	3	SOURCE_GAP	{}
joyuu	女優	standard	[2]	10	9	SOURCE_GAP	{}
juusou-reijou-morenet	重装令嬢モアネット	standard	[2]	4	3	SOURCE_GAP	{}
kabukichou-goshimei-hairimasu	歌舞伎町ご指名♂挿入ります!	standard	[2]	3	2	SOURCE_GAP	{}
kachou-fuugetsu	花鳥風月	standard	[11]	12	11	SOURCE_GAP	{}
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	standard	[5]	6	5	SOURCE_GAP	{}
kaina	腕	standard	[2]	3	2	SOURCE_GAP	{}
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	standard	[2]	3	2	SOURCE_GAP	{}
kameraman-monogatari	カメラマン物語	standard	[2]	5	4	SOURCE_GAP	{}
kanchigai-no-atelier-maisutaa	勘違いの工房主(アトリエマイスター)	standard	[7]	9	8	SOURCE_GAP	{}
kantai-collection-kancolle-4-koma-comic	艦隊これくしょん-艦これ-4コマコミック	standard	[11]	17	7	SOURCE_GAP	{}
kegawa-to-nakami	けがわとなかみ	standard	[2]	4	3	SOURCE_GAP	{}
keirin-yarou	ケイリン野郎	standard	[45]	56	55	SOURCE_GAP	{}
keishichou-sousa-ikka-totsugawa-keibu-ando-torein-mystery-comic-selection	警視庁捜査一課十津川警部＆トレインミステリーコミックセレクション	standard	[8]	12	11	SOURCE_GAP	{}
kenkaku-shoubai	剣客商売	standard	[50]	54	53	SOURCE_GAP	{}
kenrou-densetsu	犬狼伝説	standard	[2]	3	2	SOURCE_GAP	{}
kibaken	牙拳	standard	[9]	12	11	SOURCE_GAP	{}
